Gear_No,Oil Temperature (C),Wr Sleeve Pr CW (bar),Blk Passage Pr (bar),Gear Ratio,Flow Validation (lpm),NPD (bar),Efficiency CW (bar),Efficiency CCW (bar),Leakage CW (lpm),Leakage CCW (lpm),Leak Pr CW (bar),Leak Pr CCW (bar),Torque Bal 1 (Nm),Torque Bal 2 (Nm),Hysterisis CW(%),Hysterisis CCW(%),Direction,TT-CW,TT-CCW,TT-Diff,PCW,PCCW,CW_10.00,CW_31.00,CW_69.00,CW_90.00,CCW_10.00,CCW_31.00,CCW_69.00,CCW_90.00
V18FL42933,53.065473,12.577246,12.311914,39.846062,12.420509,3.228320,151.183990,149.469868,1.630068,0.271473,113.797211,114.847060,0.561276,0.561276,25.049220,46.883175,OK,1.042969,1.940430,0.897461,35.068262,32.444141,4.82,6.65,7.33,7.58,-3.72,-6.08,-7.16,-7.79
V18FL42934,53.935924,12.762598,11.649219,40.834736,12.481694,3.891064,153.284784,145.391661,0.858567,1.017895,114.735991,113.372169,0.525883,0.525883,29.347177,19.666772,OK,1.001953,1.579102,0.577148,34.086914,31.197461,5.51,6.77,7.48,8.06,-4.54,-6.24,-7.10,-7.71
V18FL42936,56.744439,12.219238,12.046582,35.765179,12.481694,3.593213,150.090340,148.517120,1.003184,0.402220,113.608527,113.532294,0.224942,0.224942,25.717055,27.006841,OK,1.447266,1.454102,0.006836,35.000977,33.292188,3.39,5.93,6.64,7.04,-4.74,-6.15,-7.11,-7.58
V18FL42937,57.886694,12.470605,12.179883,40.385018,12.481694,3.399951,152.319188,148.327279,0.820111,0.245914,113.649293,113.625774,0.129558,0.129558,31.442659,35.156159,OK,1.299805,1.644531,0.344727,33.675586,31.158105,4.61,6.30,7.75,8.44,-4.30,-6.17,-7.30,-8.12
V18FL42938,57.670306,12.087207,12.935254,37.272028,13.845813,3.322021,148.834218,153.474170,1.183595,0.294115,112.622928,114.144270,0.083852,0.083852,35.819764,40.371272,OK,1.310547,1.733398,0.422852,34.576953,31.489453,5.10,6.53,7.15,7.18,-4.64,-6.61,-7.73,-8.28
V18FL42940,51.312507,13.147266,13.159961,37.079495,13.265884,3.080518,152.587111,147.463089,1.259578,0.285844,114.042665,114.845440,0.129136,0.129136,34.829887,27.552094,OK,1.526367,1.800781,0.274414,34.802930,32.775488,4.34,6.07,7.25,8.07,-4.96,-5.94,-6.98,-8.22
V18FL42942,53.707473,13.120605,12.311914,36.997229,12.668919,3.313867,148.178352,149.871116,1.248664,0.704714,114.188539,113.414584,0.199471,0.199471,30.568712,43.149733,OK,1.057617,1.739258,0.681641,34.206250,30.746777,4.64,6.47,7.30,7.63,-4.34,-6.27,-7.05,-7.67
V18FL42943,52.009924,12.563281,12.987305,36.609529,12.481694,3.433008,152.194093,146.690183,1.115530,1.190860,114.239833,112.885294,0.058053,0.058053,27.375197,37.351475,OK,1.180664,1.542969,0.362305,34.922266,32.244824,5.21,5.79,7.30,8.00,-3.88,-5.85,-6.64,-7.41
V18FL42944,55.235757,12.139258,12.153223,31.436876,12.668919,3.116895,152.779157,147.470879,0.964357,0.867827,114.159554,113.542493,0.251505,0.251505,21.610715,34.209535,OK,1.004883,1.426758,0.421875,34.218945,31.940137,4.57,6.22,7.14,7.77,-4.19,-5.97,-6.44,-6.85
V18FL42945,56.890331,12.908594,11.729199,36.347898,12.543484,2.780469,150.358485,150.489314,1.196640,0.366193,113.225361,113.573186,0.507187,0.507187,32.550302,32.841771,OK,1.137695,2.282227,1.144531,34.564258,31.528809,4.97,6.34,7.48,7.97,-3.68,-5.83,-6.30,-7.01
V18FL42946,59.159007,12.935254,11.887891,36.881247,12.605889,3.345898,151.477756,152.200412,0.975305,0.206152,113.636153,114.459201,0.071010,0.071010,33.066189,32.012117,OK,1.202148,1.443359,0.241211,35.823633,32.257520,3.98,6.28,8.17,9.02,-5.19,-6.35,-7.40,-8.12
V18FL42948,54.298580,13.398633,13.013965,41.074852,12.543484,3.489355,153.624645,150.169343,0.967161,0.422106,115.165388,115.019026,0.150073,0.150073,30.361495,24.661955,OK,1.789062,1.587891,0.201172,35.690332,34.364941,4.57,6.23,6.83,7.36,-5.09,-6.38,-7.13,-8.18
V18FL42949,54.755482,13.173926,12.470605,43.372504,12.481694,2.897998,152.676299,148.671014,1.055260,0.300014,114.740007,114.638894,0.578439,0.578439,25.244815,25.362744,OK,1.207031,2.398437,1.191406,35.080957,32.522852,4.50,6.05,6.76,7.09,-4.18,-6.63,-7.39,-7.91
V18FL42950,53.242654,12.603906,12.431250,38.647572,12.543484,3.297607,152.226773,147.271111,0.909067,0.509454,114.724032,114.319535,0.309685,0.309685,37.643258,41.451515,OK,1.351562,1.658203,0.306641,35.385645,32.244824,4.20,6.48,7.55,7.92,-6.01,-6.79,-8.40,-9.20
V18FL42951,53.183845,13.252637,12.139258,40.937274,12.668919,3.760498,150.118590,147.969788,1.192443,0.542241,114.740264,114.662922,0.184184,0.184184,32.258636,38.246980,OK,1.097656,1.247070,0.149414,35.146973,32.854199,4.47,6.16,7.25,7.97,-5.06,-6.35,-7.31,-7.95
